"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"1736","Saturday","37","7","698","76","167","47","105","16","17","8","79","72","28","3","43","52","215",".455",".448",".941",".616","14.6","106","104","18.9","5.8","2.1","1.9","inglejo01"
"1737","Starter","42","42","1154","107","251","56","141","25","30","10","128","132","60","5","70","93","295",".426",".397",".833",".558","13.4","102","104","27.5","7.0","3.0","3.1","inglejo01"
"1738","Reserve","167","0","2788","273","624","159","409","51","69","40","324","256","120","13","141","222","756",".438",".389",".739",".578","13.4","104","106","16.7","4.5","1.9","1.5","inglejo01"
"1739","30-39","21","18","714","70","155","42","94","20","22","7","75","80","38","3","36","50","202",".452",".447",".909",".613","13.2","114","106","34.0","9.6","3.6","3.8","inglejo01"
"1740","20-29","74","17","1754","195","412","106","253","35","47","24","215","182","87","7","95","135","531",".473",".419",".745",".614","14.1","111","106","23.7","7.2","2.9","2.5","inglejo01"
"1741","10-19","88","7","1314","105","275","63","184","20","28","19","147","114","50","6","67","117","293",".382",".342",".714",".510","12.5","93","105","14.9","3.3","1.7","1.3","inglejo01"
"1742","0-9","26","0","161","10","33","4","19","1","2","0","15","12","5","2","13","13","25",".303",".211",".500",".369","13.7","53","107","6.2","1.0","0.6","0.5","inglejo01"
"1743","0 Days","48","11","932","85","198","49","125","19","28","14","105","100","33","4","50","68","238",".429",".392",".679",".566","13.1","101","109","19.4","5.0","2.2","2.1","inglejo01"
"1744","1 Day","115","22","2137","212","493","118","309","44","56","30","238","210","97","10","112","167","586",".430",".382",".786",".566","13.8","104","106","18.6","5.1","2.1","1.8","inglejo01"
"1745","2 Days","34","6","618","58","131","35","88","7","9","3","81","59","37","4","42","61","158",".443",".398",".778",".585","13.0","97","101","18.2","4.6","2.4","1.7","inglejo01"
"1746","3+ Days","9","3","221","22","47","13","26","6","6","3","26","18","12","0","6","16","63",".468",".500","1.000",".635","11.7","127","104","24.6","7.0","2.9","2.0","inglejo01"
"1747","Eastern","77","12","1418","122","308","63","185","27","33","20","178","155","63","9","72","108","334",".396",".341",".818",".518","13.0","99","104","18.4","4.3","2.3","2.0","inglejo01"
"1748","Western","132","30","2525","258","567","152","365","49","66","30","274","233","117","9","139","207","717",".455",".416",".742",".601","13.6","106","107","19.1","5.4","2.1","1.8","inglejo01"
"1749","Atlantic","27","5","522","45","121","21","71","20","23","6","64","58","27","2","29","45","131",".372",".296",".870",".500","14.3","99","104","19.3","4.9","2.4","2.1","inglejo01"
"1750","Central","24","7","506","40","103","20","62","4","6","7","71","61","21","2","24","41","104",".388",".323",".667",".492","12.0","97","103","21.1","4.3","3.0","2.5","inglejo01"
"1751","Northwest","41","11","809","75","173","39","106","11","17","11","91","72","38","4","42","68","200",".434",".368",".647",".554","12.9","101","106","19.7","4.9","2.2","1.8","inglejo01"
"1752","Pacific","47","10","938","103","221","65","143","25","29","12","117","96","55","4","50","67","296",".466",".455",".862",".633","13.9","113","104","20.0","6.3","2.5","2.0","inglejo01"
"1753","Southeast","26","0","389","37","84","22","52","3","4","7","43","36","15","5","19","22","99",".440",".423",".750",".577","12.6","101","104","15.0","3.8","1.7","1.4","inglejo01"
"1754","Southwest","44","9","778","80","173","48","116","13","20","7","66","65","24","1","47","72","221",".462",".414",".650",".608","14.0","102","111","17.7","5.0","1.5","1.5","inglejo01"
"1755","Atlanta","5","0","75","6","17","4","12","1","1","2","8","9","3","2","7","3","17",".353",".333","1.000",".487","14.2","80","101","15.0","3.4","1.6","1.8","inglejo01"
"1756","Boston","5","2","104","5","21","2","13","4","5","3","16","11","5","0","4","14","16",".238",".154",".800",".345","12.2","85","110","20.8","3.2","3.2","2.2","inglejo01"
"1757","Charlotte","5","0","85","9","17","6","13","2","3","4","12","7","2","1","3","6","26",".529",".462",".667",".710","12.1","130","101","16.9","5.2","2.4","1.4","inglejo01"
"1758","Chicago","5","1","97","10","26","3","12","0","0","4","12","10","3","1","6","12","23",".385",".250",NA,".442","15.5","90","101","19.4","4.6","2.4","2.0","inglejo01"
"1759","Cleveland","5","2","117","6","18","4","14","0","0","0","12","15","1","0","3","12","16",".333",".286",NA,".444","8.6","109","114","23.4","3.2","2.4","3.0","inglejo01"
"1760","Dallas","9","2","180","20","42","11","27","3","3","2","14","14","5","0","12","11","54",".476",".407","1.000",".623","14.6","105","114","20.0","6.0","1.6","1.6","inglejo01"
"1761","Denver","12","4","233","21","52","14","37","4","6","0","23","22","9","1","9","17","60",".404",".378",".667",".549","12.8","104","104","19.4","5.0","1.9","1.8","inglejo01"
"1762","Detroit","5","0","104","7","20","4","12","1","2","2","21","9","5","0","4","7","19",".350",".333",".500",".455","11.6","85","98","20.8","3.8","4.2","1.8","inglejo01"
"1763","Golden State","10","2","234","26","59","16","36","8","11","3","30","21","19","2","15","22","76",".441",".444",".727",".595","14.8","105","107","23.4","7.6","3.0","2.1","inglejo01"
"1764","Houston","10","2","148","15","39","10","26","0","0","3","19","15","4","0","10","12","40",".385",".385",NA,".513","14.8","93","112","14.8","4.0","1.9","1.5","inglejo01"
"1765","Indiana","5","2","107","9","24","3","14","2","2","1","17","16","6","1","2","6","23",".375",".214","1.000",".462","11.3","113","104","21.4","4.6","3.4","3.2","inglejo01"
"1766","LA Clippers","8","1","153","14","34","9","24","2","2","4","25","18","7","0","7","16","39",".412",".375","1.000",".559","13.0","110","110","19.1","4.9","3.1","2.3","inglejo01"
"1767","LA Lakers","11","2","193","23","45","17","32","4","5","1","21","20","11","1","9","14","67",".511",".531",".800",".710","13.9","122","98","17.5","6.1","1.9","1.8","inglejo01"
"1768","Memphis","11","3","190","20","39","12","27","5","9","1","14","11","2","0","8","17","57",".513",".444",".556",".663","13.5","112","109","17.3","5.2","1.3","1.0","inglejo01"
"1769","Miami","6","0","98","9","21","5","11","0","0","0","13","10","2","2","2","3","23",".429",".455",NA,".548","11.8","113","107","16.3","3.8","2.2","1.7","inglejo01"
"1770","Milwaukee","4","2","81","8","15","6","10","1","2","0","9","11","6","0","9","4","23",".533",".600",".500",".724","13.9","88","97","20.4","5.8","2.3","2.8","inglejo01"
"1771","Minnesota","10","2","215","26","51","12","30","3","5","4","20","20","13","3","13","15","67",".510",".400",".600",".630","14.5","111","105","21.5","6.7","2.0","2.0","inglejo01"
"1772","New Jersey","5","2","112","11","26","6","17","4","4","1","15","13","4","1","6","5","32",".423",".353","1.000",".576","13.9","113","95","22.3","6.4","3.0","2.6","inglejo01"
"1773","New Orleans","5","0","75","6","14","5","11","0","0","0","3","9","0","0","5","9","17",".429",".455",NA,".607","11.7","98","118","14.9","3.4","0.6","1.8","inglejo01"
"1774","New York","5","0","75","8","18","4","12","4","5","0","6","8","3","0","6","4","24",".444",".333",".800",".594","17.2","98","107","15.0","4.8","1.2","1.6","inglejo01"
"1775","Oklahoma City","10","2","170","12","32","4","20","1","2","2","26","17","8","0","11","14","29",".375",".200",".500",".441","11.9","80","105","17.0","2.9","2.6","1.7","inglejo01"
"1776","Orlando","6","0","78","10","16","7","11","0","0","0","6","8","4","0","6","8","27",".625",".636",NA,".844","12.9","106","107","13.1","4.5","1.0","1.3","inglejo01"
"1777","Philadelphia","6","1","106","9","25","4","12","4","5","2","12","8","5","1","6","9","26",".360",".333",".800",".478","14.1","93","91","17.6","4.3","2.0","1.3","inglejo01"
"1778","Phoenix","10","3","189","21","44","12","26","8","8","2","20","16","10","0","9","5","62",".477",".462","1.000",".652","13.9","116","100","18.9","6.2","2.0","1.6","inglejo01"
"1779","Portland","9","3","190","16","38","9","19","3","4","5","22","13","8","0","9","22","44",".421",".474",".750",".553","11.9","101","111","21.2","4.9","2.4","1.4","inglejo01"
"1780","Sacramento","8","2","169","19","39","11","25","3","3","2","21","21","8","1","10","10","52",".487",".440","1.000",".645","13.6","116","105","21.2","6.5","2.6","2.6","inglejo01"
"1781","San Antonio","9","2","185","19","39","10","25","5","8","1","16","16","13","1","12","23","53",".487",".400",".625",".623","14.0","99","106","20.6","5.9","1.8","1.8","inglejo01"
"1782","Toronto","6","0","126","12","31","5","17","4","4","0","15","18","10","0","7","13","33",".387",".294","1.000",".504","14.9","101","116","21.0","5.5","2.5","3.0","inglejo01"
"1783","Washington","4","0","53","3","13","0","5","0","0","1","4","2","4","0","1","2","6",".231",".000",NA,".231","12.0","58","101","13.3","1.5","1.0","0.5","inglejo01"
"1784","Total","1031","1030","40129","10105","20259","1414","4154","6337","8539","1251","7420","7188","1721","796","3502","1916","27961",".499",".340",".742",".582","31.8","116","103","38.9","27.1","7.2","7.0","jamesle01"
"1785","Home","524","523","20094","4990","9826","666","1942","3203","4269","615","3745","3733","840","435","1705","885","13849",".508",".343",".750",".592","31.0","118","102","38.3","26.4","7.1","7.1","jamesle01"
"1786","Road","507","507","20036","5115","10433","748","2212","3134","4270","636","3675","3455","881","361","1797","1031","14112",".490",".338",".734",".573","32.7","114","105","39.5","27.8","7.2","6.8","jamesle01"
"1787","Pre","680","679","26392","6602","13246","908","2687","4150","5600","785","4866","4779","1128","522","2361","1289","18262",".498",".338",".741",".581","31.7","116","103","38.8","26.9","7.2","7.0","jamesle01"
"1788","Post","351","351","13738","3503","7013","506","1467","2187","2939","466","2554","2409","593","274","1141","627","9699",".500",".345",".744",".584","32.1","117","103","39.1","27.6","7.3","6.9","jamesle01"
"1789","Win","692","691","26464","6929","13286","944","2647","4339","5753","822","5128","5079","1217","573","2202","1230","19141",".522",".357",".754",".605","31.7","121","100","38.2","27.7","7.4","7.3","jamesle01"
"1790","Loss","339","339","13666","3176","6973","470","1507","1998","2786","429","2292","2109","504","223","1300","686","8820",".455",".312",".717",".538","32.1","106","111","40.3","26.0","6.8","6.2","jamesle01"
"1791","October","24","24","879","193","401","26","93","119","178","24","173","172","31","13","98","54","531",".481",".280",".669",".554","30.3","106","99","36.6","22.1","7.2","7.2","jamesle01"
"1792","November","181","181","6932","1690","3412","246","689","1137","1500","208","1254","1255","276","148","604","329","4763",".495",".357",".758",".585","31.0","116","104","38.3","26.3","6.9","6.9","jamesle01"
"1793","December","188","187","7274","1832","3648","258","744","1082","1454","214","1274","1296","329","145","655","360","5004",".502",".347",".744",".584","31.6","115","103","38.7","26.6","6.8","6.9","jamesle01"
"1794","January","190","190","7498","1935","3854","255","781","1184","1643","234","1467","1362","327","150","689","366","5309",".502",".327",".721",".580","32.4","116","104","39.5","27.9","7.7","7.2","jamesle01"
"1795","February","157","157","6141","1552","3134","207","629","985","1326","174","1130","1130","265","106","513","287","4296",".495",".329",".743",".578","32.1","116","104","39.1","27.4","7.2","7.2","jamesle01"
"1796","March","198","198","7825","1965","3960","289","843","1214","1619","279","1465","1360","334","171","638","343","5433",".496",".343",".750",".581","31.8","117","104","39.5","27.4","7.4","6.9","jamesle01"
"1797","April","93","93","3580","938","1850","133","375","616","819","118","657","613","159","63","305","177","2625",".507",".355",".752",".594","32.6","119","104","38.5","28.2","7.1","6.6","jamesle01"
"1798","Sunday","132","132","5154","1332","2680","177","519","790","1080","177","988","919","224","100","448","245","3631",".497",".341",".731",".575","32.6","116","101","39.0","27.5","7.5","7.0","jamesle01"
"1799","Monday","105","105","4093","1049","2057","136","406","619","837","123","718","694","180","76","367","197","2853",".510",".335",".740",".588","31.6","116","104","39.0","27.2","6.8","6.6","jamesle01"
"1800","Tuesday","155","154","6057","1516","3010","219","666","987","1304","184","1125","1090","262","141","526","275","4238",".504",".329",".757",".591","31.4","117","103","39.1","27.3","7.3","7.0","jamesle01"
"1801","Wednesday","196","196","7547","1848","3763","272","777","1284","1704","245","1395","1376","325","143","628","339","5252",".491",".350",".754",".582","31.6","117","104","38.5","26.8","7.1","7.0","jamesle01"
"1802","Thursday","106","106","4192","1067","2173","144","453","671","941","133","779","759","173","80","379","223","2949",".491",".318",".713",".570","33.1","114","105","39.5","27.8","7.3","7.2","jamesle01"
"1803","Friday","191","191","7372","1831","3693","243","734","1133","1540","201","1375","1328","318","155","665","357","5038",".496",".331",".736",".576","31.6","114","103","38.6","26.4","7.2","7.0","jamesle01"
"1804","Saturday","146","146","5713","1462","2883","223","599","853","1133","188","1040","1022","239","101","489","280","4000",".507",".372",".753",".591","31.4","118","103","39.1","27.4","7.1","7.0","jamesle01"
"1805","Starter","1030","1030","40107","10100","20250","1414","4153","6330","8529","1250","7417","7183","1720","795","3498","1914","27944",".499",".340",".742",".582","31.8","116","103","38.9","27.1","7.2","7.0","jamesle01"
"1806","Reserve","1","0","23","5","9","0","1","7","10","1","3","5","1","1","4","2","17",".556",".000",".700",".634","34.7","113","108","22.6","17.0","3.0","5.0","jamesle01"
"1807","40+","456","456","19772","4918","10054","722","2114","3227","4378","608","3530","3372","840","405","1630","949","13785",".489",".342",".737",".575","32.0","116","106","43.4","30.2","7.7","7.4","jamesle01"
"1808","30-39","526","526","19011","4802","9511","642","1903","2911","3899","608","3626","3530","805","364","1755","912","13157",".505",".337",".747",".586","31.6","116","102","36.1","25.0","6.9","6.7","jamesle01"
"1809","20-29","46","45","1293","373","666","50","133","191","248","35","257","275","75","24","117","54","987",".560",".376",".770",".637","31.9","124","94","28.1","21.5","5.6","6.0","jamesle01"
"1810","10-19","3","3","54","12","28","0","4","8","14","0","7","11","1","3","0","1","32",".429",".000",".571",".468","31.2","111","108","17.9","10.7","2.3","3.7","jamesle01"
"1811","0 Days","233","233","9129","2358","4742","324","948","1438","1915","307","1679","1610","372","170","777","454","6478",".497",".342",".751",".580","32.3","116","105","39.2","27.8","7.2","6.9","jamesle01"
