"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"1398","Denver","15","4","258","40","74","0","0","14","22","25","83","6","7","13","9","29","94",".541",".636",".562","15.7","115","104","17.2","6.3","5.5","0.4","koufoko01",NA,NA
"1399","Detroit","14","4","227","39","75","0","0","12","17","14","57","6","3","14","8","31","90",".520",".706",".546","18.2","110","102","16.2","6.4","4.1","0.4","koufoko01",NA,NA
"1400","Golden State","24","9","391","69","129","0","0","24","33","50","125","10","13","22","17","42","162",".535",".727",".564","18.0","115","105","16.3","6.8","5.2","0.4","koufoko01",NA,NA
"1401","Houston","30","14","560","97","169","0","0","13","29","70","166","16","17","35","26","78","207",".574",".448",".569","16.2","110","106","18.7","6.9","5.5","0.5","koufoko01",NA,NA
"1402","Indiana","14","5","286","36","72","0","0","17","26","26","79","5","2","9","13","29","89",".500",".654",".533","15.4","104","109","20.4","6.4","5.6","0.4","koufoko01",NA,NA
"1403","LA Clippers","26","7","407","64","114","0","0","16","27","41","120","12","11","17","16","53","144",".561",".593",".572","15.8","111","105","15.7","5.5","4.6","0.5","koufoko01",NA,NA
"1404","LA Lakers","26","8","380","66","120","0","1","10","15","44","114","12","7","16","22","54","142",".550",".667",".561","16.7","107","106","14.6","5.5","4.4","0.5","koufoko01",NA,NA
"1405","Memphis","20","9","295","36","69","0","0","17","26","29","83","11","4","18","15","49","89",".522",".654",".553","14.8","109","105","14.7","4.5","4.2","0.6","koufoko01",NA,NA
"1406","Miami","15","4","210","30","53","0","1","10","16","20","55","5","1","12","8","26","70",".566",".625",".583","14.6","118","111","14.0","4.7","3.7","0.3","koufoko01",NA,NA
"1407","Milwaukee","14","6","229","30","69","0","0","11","18","30","74","6","4","11","12","26","71",".435",".611",".462","16.7","100","104","16.4","5.1","5.3","0.4","koufoko01",NA,NA
"1408","Minnesota","22","12","413","61","112","0","0","12","22","48","129","4","14","19","16","50","134",".545",".545",".551","14.7","110","104","18.8","6.1","5.9","0.2","koufoko01",NA,NA
"1409","NJN, BRK","13","4","245","40","77","0","0","8","17","34","81","4","9","13","15","33","88",".519",".471",".521","18.6","102","104","18.8","6.8","6.2","0.3","koufoko01",NA,NA
"1410","NOH, NOP","23","5","295","37","74","0","0","16","19","32","89","6","4","20","9","33","90",".500",".842",".546","14.6","114","105","12.8","3.9","3.9","0.3","koufoko01",NA,NA
"1411","New York","11","4","175","30","55","0","0","0","1","17","59","2","0","7","7","22","60",".545",".000",".541","16.0","106","102","15.9","5.5","5.4","0.2","koufoko01",NA,NA
"1412","Oklahoma City","28","6","420","73","135","0","0","22","35","58","145","11","12","17","19","62","168",".541",".629",".559","17.5","112","108","15.0","6.0","5.2","0.4","koufoko01",NA,NA
"1413","Orlando","14","5","255","36","68","0","0","12","22","20","58","5","9","11","9","33","84",".529",".545",".541","15.2","105","103","18.2","6.0","4.1","0.4","koufoko01",NA,NA
"1414","Philadelphia","16","6","228","34","69","0","0","15","24","21","55","8","5","10","11","24","83",".493",".625",".522","17.6","103","99","14.2","5.2","3.4","0.5","koufoko01",NA,NA
"1415","Phoenix","21","11","375","67","123","0","0","20","36","44","117","14","15","23","12","45","154",".545",".556",".555","17.5","116","99","17.8","7.3","5.6","0.7","koufoko01",NA,NA
"1416","Portland","25","9","430","68","121","0","0","7","16","46","124","5","12","16","20","53","143",".562",".438",".558","15.4","107","109","17.2","5.7","5.0","0.2","koufoko01",NA,NA
"1417","Sacramento","18","6","287","46","83","0","0","18","27","27","96","10","7","17","15","46","110",".554",".667",".580","17.0","111","97","16.0","6.1","5.3","0.6","koufoko01",NA,NA
"1418","San Antonio","24","9","361","51","102","0","1","3","12","37","113","8","7","16","19","44","105",".500",".250",".489","15.9","94","109","15.0","4.4","4.7","0.3","koufoko01",NA,NA
"1419","Toronto","15","3","209","33","68","0","0","13","28","26","60","2","7","11","5","27","79",".485",".464",".492","18.0","107","102","13.9","5.3","4.0","0.1","koufoko01",NA,NA
"1420","Utah","20","10","372","53","95","0","0","6","15","45","114","9","7","16","12","44","112",".558",".400",".551","14.2","114","105","18.6","5.6","5.7","0.5","koufoko01",NA,NA
"1421","Washington","13","6","216","31","61","0","0","16","17","20","54","3","5","10","11","27","78",".508",".941",".570","16.4","108","107","16.6","6.0","4.2","0.2","koufoko01",NA,NA
"1422","Total","235","103","4630","606","1313","2","13","354","493","448","1449","158","93","246","303","649","1568",".462",".718",".512","17.0","100","106","19.7","6.7","6.2","0.7","lenal01",".154",NA
"1423","Home","114","49","2267","298","626","1","8","176","252","218","702","68","40","124","145","311","773",".476",".698",".525","16.7","102","105","19.9","6.8","6.2","0.6","lenal01",".125",NA
"1424","Road","121","54","2363","308","687","1","5","178","241","230","747","90","53","122","158","338","795",".448",".739",".501","17.4","98","107","19.5","6.6","6.2","0.7","lenal01",".200",NA
"1425","Pre","169","56","3154","414","830","2","10","231","319","312","981","94","74","193","193","467","1061",".499",".724",".547","16.0","105","106","18.7","6.3","5.8","0.6","lenal01",".200",NA
"1426","Post","66","47","1476","192","483","0","3","123","174","136","468","64","19","53","110","182","507",".398",".707",".453","19.2","91","107","22.4","7.7","7.1","1.0","lenal01",".000",NA
"1427","Win","96","41","1882","280","535","1","7","147","209","200","597","67","38","109","117","257","708",".523",".703",".565","17.0","110","101","19.6","7.4","6.2","0.7","lenal01",".143",NA
"1428","Loss","139","62","2748","326","778","1","6","207","284","248","852","91","55","137","186","392","860",".419",".729",".476","17.0","93","110","19.8","6.2","6.1","0.7","lenal01",".167",NA
"1429","October","10","0","185","22","58","0","0","17","26","17","55","6","5","9","11","28","61",".379",".654",".439","18.4","90","100","18.5","6.1","5.5","0.6","lenal01",NA,NA
"1430","November","48","11","890","116","219","0","2","69","93","93","290","22","26","45","56","128","301",".530",".742",".579","15.1","108","104","18.5","6.3","6.0","0.5","lenal01",".000",NA
"1431","December","47","22","979","128","260","2","5","85","120","94","274","34","22","70","52","158","343",".492",".708",".548","16.4","109","108","20.8","7.3","5.8","0.7","lenal01",".400",NA
"1432","January","54","21","934","128","246","0","3","53","68","86","305","25","13","61","62","124","309",".520",".779",".560","15.9","104","106","17.3","5.7","5.6","0.5","lenal01",".000",NA
"1433","February","25","11","500","71","158","0","0","35","56","54","168","12","13","30","28","73","177",".449",".625",".485","17.8","98","107","20.0","7.1","6.7","0.5","lenal01",NA,NA
"1434","March","42","31","910","119","298","0","3","80","110","90","297","45","11","28","78","114","318",".399",".727",".459","20.1","91","107","21.7","7.6","7.1","1.1","lenal01",".000",NA
"1435","April","9","7","232","22","74","0","0","15","20","14","60","14","3","3","16","24","59",".297",".750",".356","17.2","78","105","25.8","6.6","6.7","1.6","lenal01",NA,NA
"1436","Sunday","35","15","654","83","166","0","1","60","76","59","212","24","12","38","39","90","226",".500",".789",".567","16.0","108","105","18.7","6.5","6.1","0.7","lenal01",".000",NA
"1437","Monday","35","17","737","100","223","0","1","58","82","56","217","19","22","35","53","99","258",".448",".707",".498","18.0","93","107","21.0","7.4","6.2","0.5","lenal01",".000",NA
"1438","Tuesday","22","10","464","55","123","0","1","47","56","44","151","13","8","28","29","62","157",".447",".839",".532","16.5","104","106","21.1","7.1","6.9","0.6","lenal01",".000",NA
"1439","Wednesday","51","21","966","132","264","0","2","59","87","100","282","35","20","46","69","139","323",".500",".678",".534","16.6","101","108","18.9","6.3","5.5","0.7","lenal01",".000",NA
"1440","Thursday","18","8","387","54","136","0","1","21","34","41","130","22","5","14","24","58","129",".397",".618",".427","19.4","91","110","21.5","7.2","7.2","1.2","lenal01",".000",NA
"1441","Friday","45","19","819","105","223","1","5","58","86","87","273","19","12","59","57","111","269",".471",".674",".516","16.7","99","100","18.2","6.0","6.1","0.4","lenal01",".200",NA
"1442","Saturday","29","13","603","77","178","1","2","51","72","61","184","26","14","26","32","90","206",".433",".708",".491","16.9","102","107","20.8","7.1","6.3","0.9","lenal01",".500",NA
"1443","Starter","103","103","2667","364","803","0","7","205","289","254","861","111","49","142","184","329","933",".453",".709",".502","18.0","99","106","25.9","9.1","8.4","1.1","lenal01",".000",NA
"1444","Reserve","132","0","1962","242","510","2","6","149","204","194","588","47","44","104","119","320","635",".475",".730",".529","15.8","102","106","14.9","4.8","4.5","0.4","lenal01",".333",NA
"1445","30-39","32","30","1102","168","356","0","2","112","152","94","374","50","21","55","70","115","448",".472",".737",".530","19.4","104","104","34.4","14.0","11.7","1.6","lenal01",".000",NA
"1446","20-29","83","50","2025","275","575","1","8","138","192","204","640","67","43","102","120","264","689",".478",".719",".522","16.4","103","106","24.4","8.3","7.7","0.8","lenal01",".125",NA
"1447","10-19","80","21","1264","144","327","1","3","87","129","129","363","36","24","76","90","222","376",".440",".674",".490","16.2","94","107","15.8","4.7","4.5","0.5","lenal01",".333",NA
"1448","0-9","40","2","239","19","55","0","0","17","20","21","72","5","5","13","23","48","55",".345",".850",".431","15.7","77","106","6.0","1.4","1.8","0.1","lenal01",NA,NA
"1449","0 Days","46","21","931","118","277","1","3","51","80","83","268","30","19","54","64","149","288",".426",".638",".461","17.4","90","106","20.2","6.3","5.8","0.7","lenal01",".333",NA
"1450","1 Day","138","62","2795","377","774","1","7","217","300","269","890","106","58","137","176","383","972",".487",".723",".536","16.7","104","105","20.3","7.0","6.4","0.8","lenal01",".143",NA
"1451","2 Days","31","16","610","74","171","0","2","64","81","59","192","16","11","40","43","77","212",".433",".790",".513","17.5","99","110","19.7","6.8","6.2","0.5","lenal01",".000",NA
"1452","3+ Days","16","4","229","31","77","0","1","17","25","30","77","4","4","13","15","30","79",".403",".680",".449","19.1","93","107","14.3","4.9","4.8","0.3","lenal01",".000",NA
"1453","Eastern","90","42","1764","233","478","0","4","130","184","167","556","56","31","96","117","241","596",".487",".707",".533","16.6","101","104","19.6","6.6","6.2","0.6","lenal01",".000",NA
"1454","Western","145","61","2866","373","835","2","9","224","309","281","893","102","62","150","186","408","972",".447",".725",".501","17.3","99","107","19.8","6.7","6.2","0.7","lenal01",".222",NA
"1455","Atlantic","31","14","578","80","155","0","0","43","62","56","189","13","8","31","42","69","203",".516",".694",".557","16.5","102","106","18.6","6.5","6.1","0.4","lenal01",NA,NA
"1456","Central","30","12","558","72","147","0","2","27","40","53","179","22","16","31","31","98","171",".490",".675",".519","15.4","103","102","18.6","5.7","6.0","0.7","lenal01",".000",NA
"1457","Northwest","55","24","1091","125","287","0","6","81","107","109","319","29","18","60","73","164","331",".436",".757",".495","16.0","97","109","19.8","6.0","5.8","0.5","lenal01",".000",NA
"1458","Pacific","45","17","882","127","296","0","0","69","95","81","273","36","20","47","65","124","323",".429",".726",".478","19.2","94","107","19.6","7.2","6.1","0.8","lenal01",NA,NA
"1459","Southeast","29","16","628","81","176","0","2","60","82","58","188","21","7","34","44","74","222",".460",".732",".523","17.8","100","103","21.7","7.7","6.5","0.7","lenal01",".000",NA
"1460","Southwest","45","20","893","121","252","2","3","74","107","91","301","37","24","43","48","120","318",".480",".692",".532","16.9","107","106","19.8","7.1","6.7","0.8","lenal01",".667",NA
"1461","Atlanta","5","3","121","12","25","0","0","8","10","9","36","8","2","3","10","12","32",".480",".800",".544","13.8","96","102","24.1","6.4","7.2","1.6","lenal01",NA,NA
"1462","Boston","5","2","104","21","29","0","0","5","7","8","31","2","1","7","8","9","47",".724",".714",".733","15.9","120","103","20.9","9.4","6.2","0.4","lenal01",NA,NA
"1463","CHA, CHO","5","2","100","12","25","0","0","10","12","6","24","2","2","2","5","13","34",".480",".833",".561","15.5","108","114","20.0","6.8","4.8","0.4","lenal01",NA,NA
"1464","Chicago","5","3","101","17","29","0","0","5","9","8","32","4","2","3","5","17","39",".586",".556",".592","16.2","113","104","20.1","7.8","6.4","0.8","lenal01",NA,NA
"1465","Cleveland","6","3","109","11","28","0","0","6","8","6","25","8","1","3","5","12","28",".393",".750",".444","15.6","99","117","18.2","4.7","4.2","1.3","lenal01",NA,NA
"1466","Dallas","9","3","143","27","49","0","0","12","17","15","48","1","2","10","9","23","66",".551",".706",".584","19.7","110","103","15.9","7.3","5.3","0.1","lenal01",NA,NA
"1467","Denver","13","3","219","20","57","0","0","18","23","22","72","4","2","10","12","37","58",".351",".783",".432","15.2","91","109","16.8","4.5","5.5","0.3","lenal01",NA,NA
"1468","Detroit","7","2","109","14","26","0","1","4","8","12","39","1","5","6","9","23","32",".538",".500",".542","15.7","93","96","15.6","4.6","5.6","0.1","lenal01",".000",NA
"1469","Golden State","11","5","201","27","60","0","0","21","24","13","64","12","4","9","20","30","75",".450",".875",".531","19.1","94","112","18.3","6.8","5.8","1.1","lenal01",NA,NA
"1470","Houston","9","3","175","20","43","1","1","12","20","22","56","10","4","9","6","23","53",".465",".600",".512","13.4","117","114","19.4","5.9","6.2","1.1","lenal01","1.000",NA
"1471","Indiana","7","1","116","12","28","0","1","7","7","12","37","3","7","7","7","28","31",".429","1.000",".499","14.0","98","93","16.6","4.4","5.3","0.4","lenal01",".000",NA
"1472","LA Clippers","11","4","228","42","95","0","0","21","34","21","62","4","5","3","9","33","105",".442",".618",".477","21.9","97","113","20.7","9.5","5.6","0.4","lenal01",NA,NA
"1473","LA Lakers","12","4","252","28","64","0","0","12","17","21","85","11","6","22","16","30","68",".438",".706",".476","14.8","97","100","21.0","5.7","7.1","0.9","lenal01",NA,NA
"1474","Memphis","9","6","233","29","60","0","0","28","40","24","79","10","7","15","15","25","86",".483",".700",".554","18.0","109","103","25.9","9.6","8.8","1.1","lenal01",NA,NA
"1475","Miami","6","2","122","14","37","0","0","8","11","10","39","2","2","10","5","15","36",".378",".727",".430","17.3","90","107","20.4","6.0","6.5","0.3","lenal01",NA,NA
"1476","Milwaukee","5","3","124","18","36","0","0","5","8","15","46","6","1","12","5","18","41",".500",".625",".519","15.7","111","102","24.8","8.2","9.2","1.2","lenal01",NA,NA
"1477","Minnesota","12","8","280","35","71","0","4","20","23","35","98","9","5","20","30","35","90",".493",".870",".555","16.5","98","107","23.3","7.5","8.2","0.8","lenal01",".000",NA
"1478","New Jersey","6","3","118","16","33","0","0","14","24","11","44","2","2","5","9","15","46",".485",".583",".528","18.4","99","103","19.6","7.7","7.3","0.3","lenal01",NA,NA
"1479","New Orleans","7","3","121","18","36","1","1","8","13","15","52","7","5","4","7","21","45",".500",".615",".539","17.4","112","99","17.3","6.4","7.4","1.0","lenal01","1.000",NA
"1480","New York","6","3","82","9","28","0","0","12","13","12","32","2","1","5","7","10","30",".321",".923",".445","22.5","93","114","13.6","5.0","5.3","0.3","lenal01",NA,NA
"1481","Oklahoma City","10","4","200","22","41","0","0","12","16","17","58","4","6","12","12","39","56",".537",".750",".583","13.0","105","111","20.0","5.6","5.8","0.4","lenal01",NA,NA
"1482","Orlando","6","4","157","28","58","0","1","23","33","22","55","3","1","8","13","15","79",".483",".697",".545","24.0","104","94","26.1","13.2","9.2","0.5","lenal01",".000",NA
"1483","Philadelphia","7","4","144","19","33","0","0","11","16","14","42","6","3","13","10","20","49",".576",".688",".612","14.5","111","107","20.6","7.0","6.0","0.9","lenal01",NA,NA
"1484","Portland","10","6","189","28","60","0","1","16","21","22","49","6","4","8","7","20","72",".467",".762",".520","17.6","111","105","18.9","7.2","4.9","0.6","lenal01",".000",NA
"1485","Sacramento","11","4","201","30","77","0","0","15","20","26","62","9","5","13","20","31","75",".390",".750",".437","21.8","87","105","18.3","6.8","5.6","0.8","lenal01",NA,NA
"1486","San Antonio","11","5","221","27","64","0","1","14","17","15","66","9","6","5","11","28","68",".422",".824",".476","16.4","94","107","20.1","6.2","6.0","0.8","lenal01",".000",NA
"1487","Toronto","7","2","130","15","32","0","0","1","2","11","40","1","1","1","8","15","31",".469",".500",".471","13.7","87","107","18.5","4.4","5.7","0.1","lenal01",NA,NA
"1488","Utah","10","3","204","20","58","0","1","15","24","13","42","6","1","10","12","33","55",".345",".625",".401","17.9","81","111","20.4","5.5","4.2","0.6","lenal01",".000",NA
"1489","Washington","7","5","129","15","31","0","1","11","16","11","34","6","0","11","11","19","41",".484",".688",".539","16.2","97","104","18.4","5.9","4.9","0.9","lenal01",".000",NA
"1490","Total","530","495","17156","3801","7491","83","260","2103","2643","1431","3821","803","314","919","1074","1489","9788",".507",".796",".566","26.1","111","109","32.4","18.5","7.2","1.5","lopezbr01",".319",NA
"1491","Home","267","251","8750","1961","3846","49","149","1092","1377","729","2001","400","163","442","524","726","5063",".510",".793",".569","26.2","112","107","32.8","19.0","7.5","1.5","lopezbr01",".329",NA
"1492","Road","263","244","8406","1840","3645","34","111","1011","1266","702","1820","403","151","477","550","763","4725",".505",".799",".562","26.0","109","110","32.0","18.0","6.9","1.5","lopezbr01",".306",NA
"1493","Pre","366","339","11650","2545","5102","81","246","1435","1798","932","2599","531","222","655","778","1055","6606",".499",".798",".560","26.4","108","108","31.8","18.0","7.1","1.5","lopezbr01",".329",NA
"1494","Post","164","156","5506","1256","2389","2","14","668","845","499","1222","272","92","264","296","434","3182",".526",".791",".576","25.4","115","110","33.6","19.4","7.5","1.7","lopezbr01",".143",NA
"1495","Win","189","174","6027","1458","2741","18","59","786","990","524","1473","246","109","376","353","539","3720",".532",".794",".586","26.9","116","101","31.9","19.7","7.8","1.3","lopezbr01",".305",NA
"1496","Loss","341","321","11129","2343","4750","65","201","1317","1653","907","2348","557","205","543","721","950","6068",".493",".797",".554","25.6","107","113","32.6","17.8","6.9","1.6","lopezbr01",".323",NA
"1497","October","14","13","413","95","189","1","7","63","79","29","88","19","4","21","26","41","254",".503",".797",".568","26.8","111","109","29.5","18.1","6.3","1.4","lopezbr01",".143",NA
"1498","November","106","100","3346","726","1486","31","82","377","476","260","738","119","69","217","225","327","1860",".489",".792",".549","26.3","105","105","31.6","17.5","7.0","1.1","lopezbr01",".378",NA
"1499","December","100","96","3195","657","1359","25","70","435","527","298","771","172","60","173","212","283","1774",".483",".825",".558","25.8","110","109","31.9","17.7","7.7","1.7","lopezbr01",".357",NA
"1500","January","106","95","3352","768","1489","24","84","426","532","241","725","152","75","185","225","297","1986",".516",".801",".576","27.1","110","109","31.6","18.7","6.8","1.4","lopezbr01",".286",NA
"1501","February","72","62","2408","551","1061","1","6","250","325","213","525","122","31","113","142","201","1353",".519",".769",".562","25.9","112","110","33.4","18.8","7.3","1.7","lopezbr01",".167",NA
"1502","March","91","88","3080","697","1309","1","9","361","469","254","660","160","52","143","172","234","1756",".532",".770",".579","25.1","115","110","33.8","19.3","7.3","1.8","lopezbr01",".111",NA
"1503","April","41","41","1362","307","598","0","2","191","235","136","314","59","23","67","72","106","805",".513",".813",".574","26.3","116","111","33.2","19.6","7.7","1.4","lopezbr01",".000",NA
"1504","Sunday","55","54","1775","366","747","10","25","227","286","149","401","98","39","90","107","153","969",".490",".794",".555","25.2","110","108","32.3","17.6","7.3","1.8","lopezbr01",".400",NA
"1505","Monday","67","60","2126","482","958","4","30","247","304","191","462","87","38","105","126","188","1215",".503",".813",".556","26.5","110","110","31.7","18.1","6.9","1.3","lopezbr01",".133",NA
"1506","Tuesday","63","60","2098","524","969","14","40","271","337","177","478","96","41","119","133","164","1333",".541",".804",".597","27.4","116","109","33.3","21.2","7.6","1.5","lopezbr01",".350",NA
"1507","Wednesday","125","117","4122","887","1766","22","60","458","581","342","925","203","69","225","247","331","2254",".502",".788",".557","25.4","110","109","33.0","18.0","7.4","1.6","lopezbr01",".367",NA
"1508","Thursday","18","18","548","118","230","9","28","75","98","33","107","29","7","20","40","48","320",".513",".765",".586","25.6","109","111","30.4","17.8","5.9","1.6","lopezbr01",".321",NA
"1509","Friday","115","106","3734","836","1666","13","44","501","619","323","821","151","73","194","244","345","2186",".502",".809",".564","26.8","110","108","32.5","19.0","7.1","1.3","lopezbr01",".295",NA
"1510","Saturday","87","80","2754","588","1155","11","33","324","418","216","627","139","47","166","177","260","1511",".509",".775",".564","25.5","109","109","31.7","17.4","7.2","1.6","lopezbr01",".333",NA
"1511","Starter","495","495","16332","3627","7112","82","254","2009","2530","1340","3593","783","295","869","1025","1385","9345",".510",".794",".568","26.1","111","109","33.0","18.9","7.3","1.6","lopezbr01",".323",NA
"1512","Reserve","35","0","824","174","379","1","6","94","113","91","228","20","19","50","49","104","443",".459",".832",".517","26.3","105","105","23.6","12.7","6.5","0.6","lopezbr01",".167",NA
"1513","40+","53","52","2250","495","970","4","10","312","381","196","521","97","37","112","123","152","1306",".510",".819",".574","26.5","114","106","42.5","24.6","9.8","1.8","lopezbr01",".400",NA
"1514","30-39","312","304","10799","2407","4696","47","153","1339","1670","890","2326","526","201","571","657","915","6200",".513",".802",".571","25.8","112","109","34.6","19.9","7.5","1.7","lopezbr01",".307",NA
"1515","20-29","144","131","3769","841","1692","32","97","422","551","316","877","169","68","219","257","364","2136",".497",".766",".552","26.6","107","108","26.2","14.8","6.1","1.2","lopezbr01",".330",NA
"1516","10-19","20","8","329","55","128","0","0","30","41","28","93","11","8","17","37","58","140",".430",".732",".479","25.4","85","107","16.5","7.0","4.7","0.6","lopezbr01",NA,NA
"1517","0-9","1","0","8","3","5","0","0","0","0","1","4","0","0","0","0","0","6",".600",NA,".600","27.4","126","98","8.3","6.0","4.0","0.0","lopezbr01",NA,NA
"1518","0 Days","121","115","3860","836","1661","8","29","425","539","319","847","174","48","216","217","342","2105",".503",".788",".554","25.6","110","112","31.9","17.4","7.0","1.4","lopezbr01",".276",NA
"1519","1 Day","277","260","9085","2046","3998","50","148","1121","1411","759","2026","423","189","454","607","798","5263",".512",".794",".570","26.4","110","109","32.8","19.0","7.3","1.5","lopezbr01",".338",NA
"1520","2 Days","84","77","2688","567","1160","17","59","348","432","237","613","135","55","148","152","227","1499",".489",".806",".555","25.4","111","107","32.0","17.8","7.3","1.6","lopezbr01",".288",NA
"1521","3+ Days","39","35","1258","291","549","7","22","164","198","94","273","61","18","82","85","99","753",".530",".828",".592","26.1","113","107","32.3","19.3","7.0","1.6","lopezbr01",".318",NA
"1522","Eastern","329","310","10659","2323","4581","49","150","1326","1664","875","2336","496","173","579","660","920","6021",".507",".797",".567","25.9","111","109","32.4","18.3","7.1","1.5","lopezbr01",".327",NA
"1523","Western","201","185","6497","1478","2910","34","110","777","979","556","1485","307","141","340","414","569","3767",".508",".794",".564","26.4","111","109","32.3","18.7","7.4","1.5","lopezbr01",".309",NA
"1524","Atlantic","101","96","3325","754","1470","8","33","419","518","283","738","155","56","203","220","270","1935",".513",".809",".570","26.4","111","109","32.9","19.2","7.3","1.5","lopezbr01",".242",NA
"1525","Central","113","107","3660","792","1547","22","56","474","598","297","801","175","54","181","207","325","2080",".512",".793",".575","25.5","113","110","32.4","18.4","7.1","1.5","lopezbr01",".393",NA
"1526","Northwest","66","63","2097","486","933","15","39","253","325","173","472","90","54","97","142","192","1240",".521",".778",".576","26.6","111","110","31.8","18.8","7.2","1.4","lopezbr01",".385",NA
"1527","Pacific","68","60","2279","527","1052","17","54","275","340","205","536","105","42","124","151","214","1346",".501",".809",".560","26.6","110","108","33.5","19.8","7.9","1.5","lopezbr01",".315",NA
"1528","Southeast","115","107","3675","777","1564","19","61","433","548","295","797","166","63","195","233","325","2006",".497",".790",".556","25.7","108","108","32.0","17.4","6.9","1.4","lopezbr01",".311",NA
"1529","Southwest","67","62","2120","465","925","2","17","249","314","178","477","112","45","119","121","163","1181",".503",".793",".555","26.1","111","110","31.6","17.6","7.1","1.7","lopezbr01",".118",NA
"1530","Atlanta","23","22","756","166","314","2","6","81","104","63","162","32","9","30","40","51","415",".529",".779",".577","24.3","114","115","32.9","18.0","7.0","1.4","lopezbr01",".333",NA
"1531","Boston","27","25","884","179","351","2","8","119","145","57","169","35","13","40","57","56","479",".510",".821",".577","24.5","111","110","32.8","17.7","6.3","1.3","lopezbr01",".250",NA
"1532","CHA, CHO","23","22","770","176","345","7","19","92","112","59","166","50","13","45","56","74","451",".510",".821",".572","27.2","109","103","33.5","19.6","7.2","2.2","lopezbr01",".368",NA
"1533","Chicago","23","23","756","168","328","5","8","91","109","56","149","26","11","33","35","64","432",".512",".835",".575","24.8","115","110","32.9","18.8","6.5","1.1","lopezbr01",".625",NA
"1534","Cleveland","22","22","736","151","314","3","6","103","132","77","181","38","8","28","42","73","408",".481",".780",".548","25.9","111","110","33.5","18.5","8.2","1.7","lopezbr01",".500",NA
"1535","Dallas","13","12","423","106","200","0","1","51","67","37","101","18","10","17","21","36","263",".530",".761",".573","27.5","115","107","32.5","20.2","7.8","1.4","lopezbr01",".000",NA
"1536","Denver","14","12","408","79","172","2","6","59","74","31","84","23","5","9","30","41","219",".459",".797",".535","25.9","108","115","29.1","15.6","6.0","1.6","lopezbr01",".333",NA
"1537","Detroit","20","18","642","159","270","5","11","86","103","53","152","34","9","38","33","60","409",".589",".835",".649","26.1","125","107","32.1","20.5","7.6","1.7","lopezbr01",".455",NA
"1538","Golden State","12","10","380","96","183","4","11","46","52","32","86","16","12","19","30","42","242",".525",".885",".588","27.4","110","110","31.7","20.2","7.2","1.3","lopezbr01",".364",NA
"1539","Houston","14","12","436","103","195","0","2","57","69","46","106","18","9","38","32","29","263",".528",".826",".584","26.4","113","115","31.1","18.8","7.6","1.3","lopezbr01",".000",NA
"1540","Indiana","23","20","723","159","330","3","13","98","126","54","152","34","15","37","45","65","419",".482",".778",".544","26.9","107","111","31.5","18.2","6.6","1.5","lopezbr01",".231",NA
"1541","LA Clippers","14","13","489","117","204","4","10","34","45","32","94","24","9","26","25","42","272",".574",".756",".608","23.9","116","107","34.9","19.4","6.7","1.7","lopezbr01",".400",NA
"1542","LA Lakers","14","13","504","128","262","5","20","77","102","58","135","28","6","25","32","42","338",".489",".755",".551","29.2","111","109","36.0","24.1","9.6","2.0","lopezbr01",".250",NA
"1543","Memphis","13","12","406","79","162","0","2","48","64","24","76","17","6","19","29","32","206",".488",".750",".542","25.7","103","108","31.3","15.8","5.8","1.3","lopezbr01",".000",NA
"1544","Miami","23","21","714","153","325","7","22","80","100","59","150","26","10","30","43","60","393",".471",".800",".533","26.9","105","110","31.0","17.1","6.5","1.1","lopezbr01",".318",NA
"1545","Milwaukee","25","24","803","155","305","6","18","96","128","57","167","43","11","45","52","63","412",".508",".750",".570","24.0","108","110","32.1","16.5","6.7","1.7","lopezbr01",".333",NA
"1546","Minnesota","13","13","418","91","169","6","14","37","58","35","110","25","11","26","35","34","225",".538",".638",".578","25.0","105","106","32.1","17.3","8.5","1.9","lopezbr01",".429",NA
"1547","NOH, NOP","13","12","406","92","183","2","10","44","59","29","90","26","12","27","20","30","230",".503",".746",".550","26.1","112","107","31.2","17.7","6.9","2.0","lopezbr01",".200",NA
"1548","New York","25","24","825","206","393","1","6","94","120","79","193","47","17","69","50","65","507",".524",".783",".569","27.4","114","107","33.0","20.3","7.7","1.9","lopezbr01",".167",NA
"1549","Oklahoma City","12","12","409","98","191","4","7","58","67","36","95","9","13","24","24","32","258",".513",".866",".585","27.3","114","105","34.1","21.5","7.9","0.8","lopezbr01",".571",NA
"1550","Orlando","23","22","696","132","285","0","4","79","101","51","152","19","20","49","46","69","343",".463",".782",".521","25.5","99","103","30.3","14.9","6.6","0.8","lopezbr01",".000",NA
"1551","Philadelphia","26","26","835","172","351","5","13","102","126","69","194","33","13","44","63","75","451",".490",".810",".555","25.9","106","104","32.1","17.3","7.5","1.3","lopezbr01",".385",NA
